ticker
AAPL
MSFT
AMZN
NVDA
TSLA
GOOGL
META
GOOG
BRK.B
JPM
XOM
UNH
JNJ
V
AVGO
PG
LLY
MA
HD
CVX
MRK
PEP
COST
ADBE
ABBV
KO
CRM
MCD
WMT
CSCO
BAC
PFE
TMO
NFLX
ACN
ABT
AMD
LIN
ORCL
CMCSA
TXN
DIS
WFC
DHR
PM
NEE
VZ
RTX
INTC
HON
QCOM
LOW
SPGI
INTU
UPS
COP
NKE
CAT
BMY
UNP
BA
IBM
ISRG
AMGN
GE
AMAT
NOW
MDT
PLD
SBUX
MS
BLK
DE
GS
T
LMT
BKNG
AXP
SYK
ADI
ELV
TJX
MDLZ
GILD
ADP
C
MMC
AMT
CVS
VRTX
SCHW
LRCX
SLB
MO
ETN
TMUS
PYPL
CI
ZTS
FI
CB
SO
REGN
BSX
EQIX
BDX
PANW
DUK
EOG
MU
AON
ITW
CSX
SNPS
PGR
APD
KLAC
CME
NOC
CDNS
ICE
ATVI
CL
SHW
WM
HCA
TGT
FCX
FDX
F
ORLY
MMM
CMG
EW
GM
MCK
NXPI
MCO
NSC
HUM
EMR
DXCM
PNC
PH
MPC
APH
ROP
FTNT
MCHP
PXD
USB
CCI
MAR
MSI
GD
PSA
JCI
PSX
SRE
ADSK
AZO
TDG
ECL
AJG
KMB
TEL
TT
AEP
EL
PCAR
OXY
TFC
CARR
D
IDXX
GIS
ON
COF
ADM
MNST
NUE
CTAS
AIG
EXC
VLO
MRNA
ANET
WMB
O
STZ
IQV
HLT
CHTR
WELL
BIIB
SPG
MSCI
DHI
ROK
CTVA
TRV
CPRT
HES
PAYX
AFL
ROST
YUM
MET
DOW
LHX
OTIS
SYY
AME
DG
NEM
CSGP
AMP
CMI
EA
PPG
FIS
A
XEL
HSY
CNC
KMI
BKR
DLR
CTSH
GWW
HAL
ODFL
PRU
DD
BK
DVN
LEN
VRSK
ED
FAST
RMD
PEG
GEHC
URI
VICI
CEG
ABC
DLTR
RSG
KR
DAL
DFS
APTV
KEYS
ANSS
ZBH
ILMN
VMC
GPN
MTD
OKE
HPQ
PCG
WBD
WEC
EFX
IT
WST
ACGL
PWR
ALB
KHC
MLM
AWK
CBRE
ALL
AVB
GLW
EIX
IR
KDP
TROW
ALGN
FTV
XYL
SBAC
STT
MPWR
FANG
CDW
ES
WY
EBAY
ENPH
WTW
ULTA
CAH
CHD
TSCO
TTWO
BAX
LYB
DTE
GPC
EQR
HIG
STE
MTB
HPE
AEE
LUV
RCL
FE
MKC
WBA
DOV
ETR
EXR
IFF
DRI
INVH
RJF
FICO
WAB
CTRA
PODD
VRSN
HOLX
BR
LVS
PPL
OMC
TDY
FSLR
VTR
COO
FLT
CNP
NVR
CLX
FITB
LH
ARE
EXPD
HWM
SWKS
PFG
PHM
UAL
RF
MAA
TRGP
STLD
CCL
TER
CMS
BALL
TYL
K
NDAQ
ATO
IRM
EXPE
NTAP
PAYC
MOH
GRMN
ZBRA
HBAN
BRO
WAT
LW
J
BBY
IEX
MRO
NTRS
FDS
CINF
SJM
CAG
ESS
DGX
SYF
PTC
SNA
RVTY
IPG
JBHT
SEDG
EG
TSN
BG
AMCR
POOL
LKQ
SWK
MGM
CBOE
AKAM
AVY
AES
TXT
CF
EQT
EPAM
EVRG
CFG
DPZ
AXON
LNT
MAS
KMX
TRMB
MTCH
NDSN
TECH
UDR
LYV
HST
KIM
WDC
PKG
APA
VTRS
TAP
CPT
MOS
LDOS
CE
JKHY
FMC
BF.B
STX
AAL
WRB
L
PEAK
ETSY
TFX
INCY
WYNN
IP
CZR
CHRW
HRL
NI
BWA
HSIC
GEN
PNR
ALLE
TPR
QRVO
CRL
EMN
CDAY
ROL
JNPR
GL
KEY
UHS
REG
MKTX
AOS
PNW
CPB
GNRC
FOXA
HII
RHI
XRAY
NCLH
FFIV
NRG
BXP
WHR
PARA
BIO
BEN
CTLT
HAS
IVZ
BBWI
NWSA
WRK
FRT
AIZ
ALK
SEE
VFC
DXC
CMA
MHK
DVA
OGN
RL
ZION
FOX
AAP
LNC
NWL
NWS
FTRE
PHIN
