,Open,Close,color
299,21.385000228881836,21.979999542236328,green
300,21.385000228881836,21.979999542236328,green
301,22.299999237060547,22.270000457763672,red
302,22.31999969482422,22.895000457763672,green
303,22.96500015258789,22.825000762939453,red
304,23.219999313354492,25.450000762939453,green
305,26.235000610351562,26.40999984741211,green
306,26.235000610351562,26.40999984741211,green
307,26.235000610351562,26.40999984741211,green
308,26.084999084472656,26.65999984741211,green
309,26.860000610351562,27.190000534057617,green
310,26.450000762939453,25.954999923706055,red
311,26.104999542236328,26.274999618530273,green
312,26.895000457763672,26.68000030517578,red
313,26.895000457763672,26.68000030517578,red
314,26.895000457763672,26.68000030517578,red
315,26.6299991607666,26.21500015258789,red
316,26.295000076293945,26.719999313354492,green
317,26.895000457763672,26.579999923706055,red
318,27.165000915527344,28.450000762939453,green
319,28.5049991607666,28.799999237060547,green
320,28.5049991607666,28.799999237060547,green
321,28.5049991607666,28.799999237060547,green
322,29.94499969482422,29.579999923706055,red
323,28.0,27.864999771118164,red
324,28.415000915527344,28.864999771118164,green
325,29.475000381469727,29.475000381469727,green
326,28.5049991607666,27.989999771118164,red
327,28.5049991607666,27.989999771118164,red
328,28.5049991607666,27.989999771118164,red
329,28.5049991607666,28.954999923706055,green
330,29.170000076293945,28.389999389648438,red
331,29.295000076293945,29.280000686645508,red
332,28.225000381469727,28.170000076293945,red
333,28.55500030517578,27.165000915527344,red
334,28.55500030517578,27.165000915527344,red
335,28.55500030517578,27.165000915527344,red
336,27.334999084472656,26.030000686645508,red
337,26.030000686645508,26.030000686645508,green
338,28.5,28.329999923706055,red
339,28.295000076293945,28.010000228881836,red
340,27.065000534057617,26.604999542236328,red
341,27.065000534057617,26.604999542236328,red
342,27.065000534057617,26.604999542236328,red
343,26.940000534057617,25.719999313354492,red
344,25.274999618530273,24.844999313354492,red
345,25.229999542236328,25.375,green
346,27.479999542236328,25.424999237060547,red
347,25.104999542236328,25.219999313354492,green
348,25.104999542236328,25.219999313354492,green
349,25.104999542236328,25.219999313354492,green
350,23.899999618530273,24.264999389648438,green
351,25.0,24.780000686645508,red
352,25.600000381469727,25.969999313354492,green
353,26.024999618530273,26.56999969482422,green
354,26.024999618530273,26.56999969482422,green
355,26.024999618530273,26.56999969482422,green
356,26.024999618530273,26.56999969482422,green
357,26.604999542236328,27.149999618530273,green
358,27.459999084472656,26.684999465942383,red
359,27.05500030517578,26.190000534057617,red
360,26.405000686645508,26.479999542236328,green
361,26.405000686645508,26.479999542236328,green
362,26.405000686645508,26.479999542236328,green
363,26.405000686645508,26.479999542236328,green
364,26.270000457763672,26.905000686645508,green
365,26.854999542236328,25.5049991607666,red
366,25.704999923706055,25.190000534057617,red
367,24.5049991607666,24.704999923706055,green
368,25.045000076293945,24.235000610351562,red
369,25.045000076293945,24.235000610351562,red
370,25.045000076293945,24.235000610351562,red
371,24.135000228881836,23.104999542236328,red
372,24.329999923706055,24.405000686645508,green
373,24.559999465942383,24.475000381469727,red
374,24.5,23.829999923706055,red
375,23.344999313354492,23.645000457763672,green
376,23.344999313354492,23.645000457763672,green
377,23.344999313354492,23.645000457763672,green
378,23.5,23.5,green
379,23.315000534057617,23.1299991607666,red
380,22.364999771118164,22.280000686645508,red
381,22.170000076293945,22.43000030517578,green
382,20.899999618530273,21.530000686645508,green
383,20.899999618530273,21.530000686645508,green
384,20.899999618530273,21.530000686645508,green
385,20.690000534057617,19.309999465942383,red
386,19.899999618530273,19.760000228881836,red
387,19.940000534057617,20.510000228881836,green
388,20.295000076293945,20.18000030517578,red
389,19.988000869750977,19.974000930786133,red
390,19.988000869750977,19.974000930786133,red
391,19.988000869750977,19.974000930786133,red
392,20.770000457763672,21.344999313354492,green
393,22.19499969482422,21.760000228881836,red
394,23.0,21.889999389648438,red
395,21.780000686645508,21.520000457763672,red
396,21.549999237060547,21.09000015258789,red
397,21.549999237060547,21.09000015258789,red
398,21.549999237060547,21.09000015258789,red
399,21.399999618530273,21.55500030517578,green
400,21.770000457763672,21.760000228881836,red
401,22.2450008392334,22.969999313354492,green
402,23.454999923706055,22.954999923706055,red
403,22.350000381469727,21.850000381469727,red
404,22.350000381469727,21.850000381469727,red
405,22.350000381469727,21.850000381469727,red
406,20.940000534057617,21.924999237060547,green
407,21.895000457763672,23.030000686645508,green
408,23.454999923706055,23.020000457763672,red
409,22.889999389648438,21.81999969482422,red
410,21.809999465942383,20.700000762939453,red
411,21.809999465942383,20.700000762939453,red
412,21.809999465942383,20.700000762939453,red
413,20.9950008392334,20.344999313354492,red
414,19.549999237060547,20.600000381469727,green
415,21.09000015258789,20.5,red
416,18.875999450683594,20.125,green
417,20.625,21.459999084472656,green
418,20.625,21.459999084472656,green
419,20.625,21.459999084472656,green
420,21.139999389648438,21.829999923706055,green
421,22.0,21.235000610351562,red
422,21.065000534057617,21.6200008392334,green
423,21.825000762939453,21.520000457763672,red
424,21.389999389648438,20.895000457763672,red
425,21.389999389648438,20.895000457763672,red
426,21.389999389648438,20.895000457763672,red
427,20.299999237060547,20.21500015258789,red
428,19.63800048828125,19.40999984741211,red
429,20.299999237060547,20.489999771118164,green
430,20.80500030517578,19.986000061035156,red
431,20.5,20.364999771118164,red
432,20.5,20.364999771118164,red
433,20.5,20.364999771118164,red
434,20.274999618530273,19.51799964904785,red
435,19.399999618530273,20.764999389648438,green
436,21.434999465942383,22.014999389648438,green
437,22.28499984741211,21.850000381469727,red
438,22.209999084472656,23.55500030517578,green
439,22.209999084472656,23.55500030517578,green
440,22.209999084472656,23.55500030517578,green
441,23.80500030517578,23.899999618530273,green
442,24.44499969482422,24.30500030517578,red
443,24.03499984741211,23.959999084472656,red
444,23.665000915527344,25.200000762939453,green
445,25.584999084472656,25.149999618530273,red
446,25.584999084472656,25.149999618530273,red
447,25.584999084472656,25.149999618530273,red
448,25.264999389648438,25.03499984741211,red
449,25.69499969482422,25.43000030517578,red
450,25.575000762939453,25.190000534057617,red
451,25.0049991607666,25.290000915527344,green
452,24.93000030517578,24.135000228881836,red
453,24.93000030517578,24.135000228881836,red
454,24.93000030517578,24.135000228881836,red
455,24.34000015258789,24.924999237060547,green
456,24.979999542236328,24.094999313354492,red
457,24.0049991607666,22.325000762939453,red
458,22.459999084472656,22.0049991607666,red
459,22.524999618530273,21.405000686645508,red
460,22.524999618530273,21.405000686645508,red
